[2026-08-17 21:14:44,546] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2026-08-17 21:14:54,746] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-08-17 21:14:54,762] 107 dagshub - INFO - Accessing as aswinsuryasivakumar2004
[2026-08-17 21:14:56,186] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/aswinsuryasivakumar2004/network_security_system "HTTP/1.1 200 OK"
[2026-08-17 21:14:57,122] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-08-17 21:14:57,126] 107 dagshub - INFO - Initialized MLflow to track repo "aswinsuryasivakumar2004/network_security_system"
[2026-08-17 21:14:57,129] 107 dagshub - INFO - Repository aswinsuryasivakumar2004/network_security_system initialized!
[2026-08-17 21:15:21,304] 42 root - INFO - Start data Ingestion
[2026-08-17 21:15:27,292] 63 root - INFO - Performed train test split on the dataframe
[2026-08-17 21:15:27,293] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-17 21:15:27,299] 69 root - INFO - Exporting train and test path.
[2026-08-17 21:15:27,578] 79 root - INFO - Exported train and test path.
[2026-08-17 21:15:27,579] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\08_17_2026_21_14_45\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\08_17_2026_21_14_45\\data_ingestion\\ingested\\test.csv')
[2026-08-17 21:15:27,604] 55 root - INFO - Initiate the data Validation
[2026-08-17 21:15:27,793] 32 root - INFO - Required number of columns:2
[2026-08-17 21:15:27,793] 33 root - INFO - Data frame has columns:31
[2026-08-17 21:15:27,793] 32 root - INFO - Required number of columns:2
[2026-08-17 21:15:27,794] 33 root - INFO - Data frame has columns:31
[2026-08-17 21:15:28,389] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-08-17 21:15:28,390] 65 root - INFO - Starting data transformation
[2026-08-17 21:15:28,482] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-08-17 21:15:28,482] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-08-17 21:15:28,533] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-08-17 21:15:28,542] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-08-17 21:15:28,543] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-08-17 21:15:28,549] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-08-17 21:25:41,310] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-08-17 21:25:41,313] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-08-17 21:25:41,314] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-08-17 21:25:41,502] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-08-17 21:25:41,502] 136 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_17_2026_21_14_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916524187870864, precision_score=0.9897610921501706, recall_score=0.9935509875050383), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9716666666666667, precision_score=0.9676348547717842, recall_score=0.9757322175732217))
